epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.606128454208374,0.18125000596046448,1.8473889827728271,0.29661017656326294
1,2.131896495819092,0.2750000059604645,1.936719298362732,0.29661017656326294
2,1.991866111755371,0.30976220965385437,1.7328290939331055,0.347457617521286
3,1.7871923446655273,0.3700000047683716,1.694121241569519,0.37288135290145874
4,1.6356971263885498,0.42375001311302185,1.676317811012268,0.3644067943096161
5,1.6026157140731812,0.43241551518440247,1.6888468265533447,0.347457617521286
6,1.5658738613128662,0.44062501192092896,1.5769627094268799,0.43220338225364685
7,1.5225335359573364,0.4762499928474426,1.6402004957199097,0.3644067943096161
8,1.4434064626693726,0.4974968731403351,1.6280537843704224,0.35593220591545105
9,1.4625403881072998,0.4749999940395355,1.6037169694900513,0.41525423526763916
10,1.4320417642593384,0.4831250011920929,1.6640280485153198,0.35593220591545105
11,1.4116787910461426,0.48623278737068176,1.5415384769439697,0.44915252923965454
12,1.420156717300415,0.4987500011920929,1.6040403842926025,0.43220338225364685
13,1.3754523992538452,0.5206508040428162,1.5764203071594238,0.4237288236618042
14,1.333550214767456,0.5331249833106995,1.6040152311325073,0.41525423526763916
15,1.300704002380371,0.5412499904632568,1.6212613582611084,0.41525423526763916
16,1.3262667655944824,0.5187734961509705,1.5075089931488037,0.43220338225364685
17,1.2579659223556519,0.5543749928474426,1.4051592350006104,0.5169491767883301
18,1.2760878801345825,0.5575000047683716,1.5239572525024414,0.47457626461982727
19,1.2272405624389648,0.5675844550132751,1.5713505744934082,0.47457626461982727
20,1.2483733892440796,0.5674999952316284,1.5515321493148804,0.44915252923965454
21,1.2680730819702148,0.5581250190734863,1.5513916015625,0.5
22,1.2384696006774902,0.5588235259056091,1.4303945302963257,0.5169491767883301
